Type,Common Name,Scientific Name,January,February,March,April,May,June,July,August,September,October,November,December,Nativity,Availability,Notes,Hummingbird Attractor,Host Plant,Maricopa Native Seed Library,Container Friendly,Bird Nest Habitat,Special Value Native Bees,Extended Bloom,Source,Pollinator,Host Plant Weight,Host For
Shrubs,desert honeysuckle,Anisacanthus thurberi,,,,TRUE,TRUE,TRUE,,,,,,,N,C,,TRUE,True,TRUE,,,,TRUE,MCPP,True,3,"Elada checkerspot, Arizona checkerspot"
Shrubs,desert lavender,Hyptis emoryi,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,,True,,,,TRUE,,MCPP,True,1,"Reakirt’s blue butterfly, gray hairstreak"
Shrubs,desert rosemallow,Hibiscus coulteri,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,True,TRUE,,,,TRUE,MCPP,True,3,"Yellow scallop moth, Geometrid moth"
Shrubs,desert senna,Senna covesii,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,,,True,TRUE,,,,,MCPP,True,3,"Sleepy orange, cloudless sulphur"
Shrubs,Eastern Mojave buckwheat,Erigonium fasiculatum poliofolium,,,TRUE,TRUE,TRUE,TRUE,,,,,,,N,NC,,,TRUE,TRUE,,,TRUE,,MCPP,True,,
Shrubs,feather dalea,Dalea formosa,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,BIOREG,C,,,TRUE,,,,TRUE,,MCPP,True,,
Shrubs,flame honeysuckle,Anisacanthus quadrifidus,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,C,Year round blooms with rainfall or supplemental water,TRUE,,,,,,,MCPP,True,,
Shrubs,"Leucophyllums including Texas sage, violet silverleaf, Chihuahuan sage, Langman’s sage",Leucophyllum sp.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,N,C,,TRUE,TRUE,,,,,,MCPP,True,,
Shrubs,odora,Porophyllum gracile,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,True,TRUE,,,,TRUE,MCPP,True,3,"Dainty Sulphur, owlette moth"
Shrubs,"Oreganillo, Wright’s bee brush",Aloysia wrightii,,,,,,,,TRUE,TRUE,TRUE,,,N,N/A,,,True,,,,,,MCPP,True,2,Rustic sphinx moth
Shrubs,paleface hibiscus,Hibiscus denudatus,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,True,TRUE,,,,,MCPP,True,3,"Yellow scallop moth, Geometrid moth"
Shrubs,pelotazo,Abutilon incanum,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,True,TRUE,,,,,MCPP,True,3,See A. abutiloides above
Shrubs,pink fairy duster,Calliandra eriophylla,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,C,,TRUE,True,TRUE,,,TRUE,TRUE,MCPP,True,3,"Ceraunus blue, Marine blue, Melipotis moths"
Shrubs,pink perezia/brownfoot,Acourtia wrightii,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,,,,TRUE,,,,,MCPP,True,,
Shrubs,rush (desert) milkweed,Asclepias subulata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N/A,C,,,TRUE,TRUE,,,TRUE,,MCPP,True,,
Shrubs,seep willow,Baccharis salicifolia,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,Can be propagated easily with pole cuttings,,True,,,,,,MCPP,True,3,"Fatal metalmark, Elada checkerspot, tiger moth"
Shrubs,shrubby deervetch,Lotus rigidus,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,NC,,,True,,,,TRUE,,MCPP,True,3,"Acmon blue, Funereal duskywing"
Shrubs,spreading fleabane,Erigeron divergens,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,True,TRUE,,,,,MCPP,True,3,"Hooded owlet moth, Flower moth"
Shrubs,sugar sumac,Rhus ovata,,,TRUE,TRUE,TRUE,,,,,,,,N,C,,,,TRUE,,,TRUE,,MCPP,True,,
Shrubs,Superstition mallow,Abutilon palmeri,,,TRUE,TRUE,TRUE,,,,,,,,N,C,,,True,TRUE,,,,TRUE,MCPP,True,3,"Arizona powdered skipper, Northern white skipper, Common streaky skipper, Common checkered skipper, several species of moth"
Shrubs,sweetbush,Bebbia juncea,,,,TRUE,TRUE,TRUE,TRUE,,,,,,N,NC,,,True,TRUE,,,,TRUE,MCPP,True,3,"Tiger moth, Tortrix moth"
Shrubs,turpentine bush,Ericameria laricifolia,,,,,,,,TRUE,TRUE,TRUE,TRUE,,N,C,critical late season nectar,,True,TRUE,,,,,MCPP,True,3,Hooded owlet moths
Shrubs,wild petunia,Ruellia nudiflora,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N/A,NC,,TRUE,True,,,,,,MCPP,True,3,"Common buckeye, Tropical buckeye"
Shrubs,wolfberry,Lycium sp,TRUE,TRUE,TRUE,TRUE,,,,,,,,,N,C,early bloom critical for emerging bees,TRUE,True,,,TRUE,TRUE,TRUE,MCPP,True,1,"Mexican agapema silkmoth, Sphinx moth, Prominent moth, Crambid moth"
Shrubs,wooly butterfly bush,Buddleia marrubifolia,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,C,,TRUE,,,,,,,MCPP,True,,
Shrubs,Wright’s buckwheat,Eriogonum wrightii,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,,,True,,,,TRUE,,MCPP,True,3,"Lupine blue, Ceraunus blue, Rita dotted blue, Acmon blue, Brown elfin, Mormon metalmark, Clearwing moth, Geometrid moths, Cambrid leaf roller moth"
