Type,Common Name,Scientific Name,January,February,March,April,May,June,July,August,September,October,November,December,Nativity,Availability,Notes,Hummingbird Attractor,Host Plant,Maricopa Native Seed Library,Container Friendly,Bird Nest Habitat,Special Value Native Bees,Extended Bloom,Source,Pollinator,Host Plant Weight,Host For
Shrubs,pineleaf milkweed,Asclepias linearis,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Queens and monarchs
Grass,purple threeawn,Aristida purpurea,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Several species of skipper and satyrs butterflies
Shrubs,rue of the mountains,Thamnosma texana,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Black swallowtail
Shrubs,sacred datura,Datura wrightii,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Pink spotted hawkmoth, Rustic sphinx moth, Five spotted hawkmoth"
Shrubs,San felipe dogweed,Adenophyllum porophylloides,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Dainty sulphur
Shrubs,shrubby Indian mallow,Abutilon abutiloides,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Arizona powdered skipper, Northern white skipper, Common streaky skipper, Common checkered skipper, Bird dropping moth, Owlet moth, Crambid seed moth"
Grass,side oats gramma,Bouteloua curtipendula,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Several species of skippers , Hualapai buckmoth, Viened Ctenucha moth"
Vines,slender janusia,Janusia gracilis,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Funereal duskywing, White patched skipper, Brown banded skipper"
Vines,snapdragon vine,Maurandella antirrhiniflora,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Common buckeye
Vines,southwestern pipevine,Aristolochia watsonii,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Pipevine swallowtail
Perennials,stinging nettles,Urtica dioica,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Red admiral
Annuals,tahoka daisy,Machaeranthera tanacetifolia,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Sagebrush checkerspot, Bordered patch, Pearl crescent, Hooded owlet moths"
Perennials,verbenas,Verbena sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Fine-lined sallow moth, Verbena moth"
Perennials,white sagebrush,Artemisia ludoviciana,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Painted ladies
Shrubs,white stemmed milkweed,Asclepias albicans,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Queens and monarchs
Annuals,wild carrot,Daucus pusillus,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,Black swallowtail
Cacti and Succulents,yuccas,Yucca sp.,,,,,,,,,,,,,,,,,True,,,,,,MCPPH,,,"Yucca giant skipper, Ursine giant skipper, Yucca moths"
