Type,Common Name,Scientific Name,January,February,March,April,May,June,July,August,September,October,November,December,Nativity,Availability,Notes
Shrubs,pink fairy duster,Calliandra eriophylla,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,C,"BloomExt. SPCVAL, MNSL,
HUM"
Shrubs,pink perezia/brownfoot,Acourtia wrightii,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,MNSL
Shrubs,rush (desert) milkweed,Asclepias subulata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N/A,C,"MNSL, HOST, SPCVAL"
Shrubs,seep willow,Baccharis salicifolia,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,NC,"Can be propagated easily with
pole cuttings"
Shrubs,shrubby deervetch,Lotus rigidus,,TRUE,TRUE,TRUE,TRUE,,,,,,,,N,NC,SPCVAL
Shrubs,spreading fleabane,Erigeron divergens,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,MNSL
Shrubs,sugar sumac,Rhus ovata,,,TRUE,TRUE,TRUE,,,,,,,,N,C,"SPCVAL, MNSL"
Shrubs,Superstition mallow,Abutilon palmeri,,,TRUE,TRUE,TRUE,,,,,,,,N,C,"BloomExt, MNSL, HOST"
Shrubs,sweetbush,Bebbia juncea,,,,TRUE,TRUE,TRUE,TRUE,,,,,,N,NC,"BloomExt, MNSL, HOST"
Shrubs,turpentine bush,Ericameria laricifolia,,,,,,,,TRUE,TRUE,TRUE,TRUE,,N,C,"HOST, MNSL, critical late
season nectar"
Shrubs,wild petunia,Ruellia nudiflora,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N/A,NC,"HOST, HUM"
Shrubs,wolfberry,Lycium sp,TRUE,TRUE,TRUE,TRUE,,,,,,,,,N,C,"BloomExt. SPCVAL, BRDNST,
HUM, early bloom critical for
emerging bees"
Shrubs,wooly butterfly bush,Buddleia marrubifolia,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,BIOREG,C,HUM
Shrubs,Wright’s buckwheat,Eriogonum wrightii,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,"SPCVAL, HOST"
Perennials,Adonis blazing star,Mentzelia multiflora,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,"SPCVAL, MNSL"
Perennials,"antelope horns
milkweed",Asclepias asperula,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,NC,"SPCVAL, HOST, native to
the higher elevations of
Maricopa County so will
require additional wate"
Perennials,Arizona milkweed,Asclepias angustifolia,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,N,NC,"BloomExt, HOST, POTS,
In summer will need extra
shade and water, best at
elevations above 3,500
feet, MNSL"
Perennials,"bee balm,
bergamot",Monarda sp.,,,,TRUE,TRUE,TRUE,TRUE,,,,,,BIOREG,C,SPCVAL
Perennials,blackfoot daisy,"Melampodium
leucantha",,,TRUE,TRUE,TRUE,,,,TRUE,TRUE,TRUE,,N,C,"BloomExt, high visitation
by small native bees,
MNSL"
Perennials,blanketflower,Gaillardia sp.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,BIOREG,C,"SPCVAL, MNSL, HOST"
Perennials,chocolate flower,Berlandiera lyrata,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,C,"MNSL, chocolate scented
flowers"
Perennials,coneflowers,Rudbeckia sp,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,BIOREG,C,SPCVAL
Perennials,desert marigold,Baileya multiradiata,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,N,C,"SPCVAL, MNSL"
Perennials,desert zinnia,Zinnia acerosa,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,N,C,"SPCVAL, excellent for
small native bees, MNSL"
