Common Name,Scientific Name,Type,Host For
passion vine,Passiflora sp.,Vine,"Gulf fritillary, Variegated fritillary"
pelotazo,Abutilon incanum,Shrub,See A. abutiloides above
perennial mustard,Boechera perennans,Perennial,"Spring white, Cabbage white, Desert marble, Pearly marble, Sara orange tip, Checkered white"
pineleaf milkweed,Asclepias linearis,Shrub,Queens and monarchs
pink fairy duster,Calliandra eriophylla,Shrub,"Ceraunus blue, Marine blue, Melipotis moths"
purple threeawn,Aristida purpurea,Grass,Several species of skipper and satyrs butterflies
rue of the mountains,Thamnosma texana,Shrub,Black swallowtail
rush (desert) milkweed,Asclepias subulata,Perennial,"Queen, monarch, Milkweed tussock tiger moth"
sacred datura,Datura wrightii,Shrub,"Pink spotted hawkmoth, Rustic sphinx moth, Five spotted hawkmoth"
San felipe dogweed,Adenophyllum porophylloides,Shrub,Dainty sulphur
seep willow,Baccharis salicifolia,Shrub,"Fatal metalmark, Elada checkerspot, tiger moth"
shrubby deervetch,Lotus rigidus,Shrub,"Acmon blue, Funereal duskywing"
shrubby Indian mallow,Abutilon abutiloides,Shrub,"Arizona powdered skipper, Northern white skipper, Common streaky skipper, Common checkered skipper, Bird dropping moth, Owlet moth, Crambid seed moth"
side oats gramma,Bouteloua curtipendula,Grass,"Several species of skippers , Hualapai buckmoth, Viened Ctenucha moth"
slender janusia,Janusia gracilis,Vine,"Funereal duskywing, White patched skipper, Brown banded skipper"
snapdragon vine,Maurandella antirrhiniflora,Vine,Common buckeye
Sonoran kidneywood,Eysenhardtia orthocarpa,Tree,"Arizona hairstreak, Marine blue, Ceraunus blue, Gray hairstreak"
southwestern pipevine,Aristolochia watsonii,Vine,Pipevine swallowtail
spreading fleabane,Erigeron divergens,Shrub,"Hooded owlet moth, Flower moth"
stinging nettles,Urtica dioica,Perennial,Red admiral
Superstition mallow,Abutilon palmeri,Shrub,"Arizona powdered skipper, Northern white skipper, Common streaky skipper, Common checkered skipper, several species of moth"
sweetbush,Bebbia juncea,Shrub,"Tiger moth, Tortrix moth"
tahoka daisy,Machaeranthera tanacetifolia,Annual,"Sagebrush checkerspot, Bordered patch, Pearl crescent, Hooded owlet moths"
tansy aster,Dieteria sp,Perennial,Moth larval host plant
turpentine bush,Ericameria laricifolia,Shrub,Hooded owlet moths
velvet mesquite,Prosopis velutina,Tree,"Marine blue, Reakirt’s blue, Ceraunus blue, Palmer’s metalmark, Leda ministreak, Hubbard’s small silkmoth, Tricolor buckmoth, Juno buckmoth, Owlet moths, Geometrid moth, Bagworm moths, Mesquite clearwing moth"
verbenas,Verbena sp.,Perennial,"Fine-lined sallow moth, Verbena moth"
white sagebrush,Artemisia ludoviciana,Perennial,Painted ladies
white stemmed milkweed,Asclepias albicans,Shrub,Queens and monarchs
wild carrot,Daucus pusillus,Annual,Black swallowtail
wild petunia,Ruellia nudiflora,Shrub,"Common buckeye, Tropical buckeye"
wolfberry,Lycium sp.,Shrub,"Mexican agapema silkmoth, Sphinx moth, Prominent moth, Crambid moth"
Wright’s buckwheat,Eriogonum wrightii,Shrub,"Lupine blue, Ceraunus blue, Rita dotted blue, Acmon blue, Brown elfin, Mormon metalmark, Clearwing moth, Geometrid moths, Cambrid leaf roller moth"
yuccas,Yucca sp.,Succulent,"Yucca giant skipper, Ursine giant skipper, Yucca moths"
